date,price,market_cap,total_volume
2018-01-22,10991.5950130802,184878210439.39847,5012581424.290013
2018-01-23,10894.0009053405,183260375707.76193,4779406610.509539
2018-01-24,11277.1159704489,189730563330.71286,3582338295.944433
2018-01-25,11225.2544568853,188880475665.0269,3204496193.302373
2018-01-26,11044.9072365744,185867144988.1318,4616389063.310399
2018-01-27,11456.2135062799,192805209257.31415,2894314081.3753986
2018-01-28,11665.6969300847,196359635508.99493,2682886340.599035
2018-01-29,11157.6638878978,187828526722.43542,2345235501.178288
2018-01-30 00:05:18 UTC,11095.2106891266,186776632503.01822,2321424679.531806
2018-01-31,9989.68977659669,168188285150.7701,3804947187.2286944
2018-02-01,10114.495086226,170304196700.15707,3225562144.838607
2018-02-02,9070.55544937356,152744180864.1639,4769515274.345698
2018-02-03,8830.16351005472,148715185541.37634,6813550017.173829
2018-02-04,8994.91486607664,151507305722.97018,3422042094.7330213
2018-02-05,8315.51749143615,140081544557.2351,3337096341.0061126
2018-02-06,6852.05270051491,115444836533.44771,5313588642.981379
2018-02-07,7711.2203289411,129936854004.41661,9152685412.95559
2018-02-08 00:05:28 UTC,7611.61027778882,128271617562.32497,4862232217.401406
2018-02-09,8208.57208449673,138345016554.78464,3190753947.378832
2018-02-10,8650.71675042998,145812043727.55478,2960039948.907384
2018-02-11,8574.67763849023,144544944416.7482,3371677737.5319858
2018-02-12,8168.63777979963,137716289625.30893,2806997176.95887
2018-02-13,8911.3985742083,150256428069.51227,3069219870.565569
2018-02-14,8518.26907619091,143645913955.80325,2551515988.2160945
2018-02-15,9428.02560716167,159007423075.0244,3282094240.879327
2018-02-16,10112.5801434467,170569769073.98798,4332356645.963475
2018-02-17,10155.2770555258,171309236631.063,3141038601.332415
2018-02-18,11006.647685962,185692327611.28845,3699819140.1747103
2018-02-19,10523.429305801,177561296505.31497,4740378626.743881
2018-02-20,11103.0900361497,187364222442.60483,3486171704.866562
2018-02-21,11502.3770496396,194121879194.2264,4225354045.1790047
2018-02-22,9973.59211951887,168362084194.4766,4574800113.397884
2018-02-23,10032.863112314,169362253983.19455,4626064156.354444
2018-02-24,10301.883609336,173922837770.0662,4009462976.493817
2018-02-25,9742.62819006538,164497574061.05917,3465387501.6656966
2018-02-26,9699.51718151529,163790896885.65796,2743650277.5619
2018-02-27,10355.5781264856,174886939893.19846,3646748812.403751
2018-02-28,10709.3884310463,180884108725.43018,3398119467.1062694
2018-03-01,10346.664931035,174778709347.89926,3182259829.3149323
2018-03-02,10859.5521943893,183463718171.25656,2892166041.0523987
2018-03-03,11098.0758092511,187514886761.3877,3031487197.1333075
2018-03-04,11356.0416016724,191899353575.24014,3019436740.238814
2018-03-05,11286.6762891691,190747933122.93732,2580256309.470718
2018-03-06,11526.4209302906,194821583687.4345,2693945511.0085077
2018-03-07,10727.716249205,181342656441.09247,3618749298.786025
2018-03-08,9999.68248604677,169056252057.66943,4896773758.150409
2018-03-09,9420.85488958591,159289105130.23843,4028135943.9580393
2018-03-10,9276.33759031006,156862284242.87494,5476476288.950579
2018-03-11,8890.86580399612,150359761907.83084,3260891795.801318
2018-03-12,9512.45611286134,160888688653.47745,3876612721.9476624
2018-03-13,9232.70587979953,156177221215.63092,4019736166.690967
2018-03-14,9216.53097626842,155921695042.49033,3628990704.0064235
2018-03-15,8307.22338626638,140553335048.27603,4020163253.1929836
2018-03-16,8359.36528334063,141449655895.93512,4571407139.639841
2018-03-17,8520.00815917187,144184737078.2775,3070872383.1616874
2018-03-18,8063.4097921227,136472702736.85979,2591898944.228953
2018-03-19,8217.84219996114,139102798580.5772,4330642347.54297
2018-03-20,8640.52143024258,146274523240.43362,4276409099.7044716
2018-03-21,8926.82049620007,151135311240.4029,3554700592.279649
2018-03-22,8970.31790627893,151888445786.24927,3081152046.0236883
2018-03-23,8736.38576909829,147943048662.1316,2931676659.5938525
2018-03-24,8824.59283177853,149451318665.61404,2877067842.098429
2018-03-25,8621.15079225785,146022681302.7956,2444371384.2694945
2018-03-26,8478.63819558905,143623891714.18073,2066020545.3926063
2018-03-27,8186.19606281355,138684803358.9432,2972024162.97679
2018-03-28,7836.76304425289,132779843611.38556,2653185409.403986
2018-03-29,7930.77954092755,134386559681.90625,2033730316.7590542
2018-03-30,7126.89519256736,120777974799.76303,3680239216.3167896
2018-03-31,6897.26857786945,116900853303.24556,4264255594.746104
2018-04-01,6975.27531402076,118234055446.5432,2565052340.2323847
2018-04-02,6836.57232729678,115896903503.05841,2649647152.1697764
2018-04-03,7080.41723231299,120044225923.52736,2253363912.1674647
2018-04-04,7464.35609406668,126568883854.60773,2762080502.6107836
2018-04-05,6845.31597826858,116084750821.3726,2544238382.121464
2018-04-06,6855.42230460675,116269847527.26425,2568972345.7027025
2018-04-07,6628.75445585626,112436767361.37248,1840465005.5711513
2018-04-08,6884.47723505995,116789559212.79994,1856418405.5749633
2018-04-09,6984.8089659738,118505840498.72884,1413593787.1878273
2018-04-10,6778.4915700774,115017783885.65182,2437632634.2860556
