date, sell_price, buy_price
2023-03-13 15:35,54950,54000
2023-03-13 15:45,55000,54050
2023-03-13 16:05,55050,54100
2023-03-13 16:20,55000,54100
2023-03-13 16:25,55050,54150
2023-03-13 16:40,55100,54200
2023-03-13 17:10,55050,54150
2023-03-14 00:00,55050,54150
2023-03-14 08:30,55400,54450
2023-03-14 08:45,55350,54400
2023-03-14 09:20,55300,54350
2023-03-14 09:30,55250,54300
2023-03-14 10:20,55200,54300
2023-03-14 11:00,55150,54250
2023-03-14 13:20,55200,54300
2023-03-14 13:30,55150,54250
2023-03-14 15:20,55100,54200
2023-03-15 00:00,55100,54200
2023-03-15 08:30,55050,54150
2023-03-15 10:30,55000,54100
2023-03-15 11:55,54950,54050
2023-03-15 13:30,54900,54000
2023-03-15 14:40,54850,53950
2023-03-15 15:10,54800,53900
2023-03-15 15:35,54750,53850
2023-03-16 00:00,54750,53850
2023-03-16 08:25,55100,54200
2023-03-16 08:45,55050,54150
2023-03-16 09:30,55000,54100
2023-03-16 13:30,55050,54150
2023-03-16 14:20,55000,54100
2023-03-16 14:45,55050,54150
2023-03-17 00:00,55050,54150
2023-03-17 08:25,55100,54200
2023-03-17 09:05,55150,54250
2023-03-17 09:40,55200,54300
2023-03-17 10:55,55150,54250
2023-03-17 13:40,55200,54300
2023-03-17 15:15,55150,54250
2023-03-17 16:30,55200,54300
2023-03-18 00:00,55200,54300
2023-03-18 08:35,56100,55100
2023-03-18 09:25,56150,55100
2023-03-18 09:40,56200,55150
2023-03-18 09:50,56150,55100
2023-03-18 10:45,56200,55150
2023-03-18 11:55,56150,55100
2023-03-19 00:00,56150,55100
2023-03-20 00:00,56150,55100
2023-03-20 08:20,55750,54750
2023-03-20 09:45,55800,54800
2023-03-20 10:45,55750,54750
2023-03-20 13:00,55800,54800
2023-03-20 13:40,55850,54850
2023-03-20 14:10,55900,54900
2023-03-20 14:30,56000,55000
2023-03-20 14:40,55950,54950
2023-03-20 16:05,55900,54900
2023-03-20 16:20,55950,54950
2023-03-20 16:35,55900,54900
2023-03-21 00:00,55900,54900
2023-03-21 08:35,55800,54800
2023-03-21 09:00,55850,54850
2023-03-21 11:35,55900,54900
2023-03-21 13:20,55850,54850
2023-03-21 13:25,55800,54800
2023-03-21 14:15,55850,54850
2023-03-21 14:35,55800,54800
2023-03-21 15:10,55750,54750
2023-03-21 15:25,55800,54800
2023-03-22 00:00,55800,54800
2023-03-22 08:30,55450,54450
2023-03-22 08:55,55500,54500
2023-03-22 14:30,55450,54450
2023-03-22 15:10,55500,54500
2023-03-22 20:10,56150,55100
2023-03-23 00:00,56150,55100
2023-03-23 01:50,55500,54500
2023-03-23 08:30,55800,54800
2023-03-23 08:50,55750,54750
2023-03-23 09:00,55800,54800
2023-03-23 09:55,55850,54850
2023-03-23 12:00,55900,54900
2023-03-23 13:30,55950,54950
2023-03-23 13:40,55900,54900
2023-03-23 14:50,55850,54850
2023-03-23 15:05,55900,54900
2023-03-23 15:30,55850,54850
2023-03-23 15:55,55900,54900
2023-03-23 19:15,56150,55100
2023-03-23 22:45,55900,54900
2023-03-24 00:00,55900,54900
2023-03-24 08:30,56050,55050
2023-03-24 09:35,56000,55000
2023-03-24 13:30,55950,54950
2023-03-24 18:50,56150,55100
2023-03-24 23:45,55950,54950
2023-03-25 00:00,55950,54950
2023-03-25 08:30,55800,54750
2023-03-25 08:50,55850,54800
2023-03-26 00:00,55850,54800
2023-03-27 00:00,55850,54800
2023-03-27 08:10,55800,54800
2023-03-27 08:20,55850,54850
2023-03-27 08:35,55800,54800
2023-03-27 10:05,55850,54850
2023-03-27 10:45,55900,54900
2023-03-27 11:05,55950,54950
2023-03-27 12:05,56000,55000
2023-03-27 13:30,55900,54900
2023-03-27 16:25,55850,54850
2023-03-28 00:00,55850,54850
2023-03-28 08:30,55800,54800
2023-03-28 09:05,55850,54850
2023-03-28 13:30,55800,54800
2023-03-29 00:00,55800,54800
2023-03-29 08:30,55900,54900
2023-03-29 09:25,55950,54950
2023-03-29 10:40,55900,54900
2023-03-29 11:35,55950,54950
2023-03-29 13:20,55900,54900
2023-03-29 16:50,55950,54950
2023-03-30 00:00,55950,54950
2023-03-30 08:25,55900,54900
2023-03-30 08:35,55850,54850
2023-03-30 09:25,55900,54900
2023-03-30 10:15,55850,54850
2023-03-30 11:50,55900,54900
2023-03-30 13:20,55950,54950
2023-03-30 15:45,55950,55000
2023-03-30 15:50,55950,54950
2023-03-31 00:00,55950,54950
2023-03-31 08:30,56100,55100
2023-03-31 09:00,56150,55150
2023-03-31 09:10,56100,55100
2023-03-31 13:45,56150,55150
2023-03-31 13:55,56100,55100
2023-03-31 14:40,56050,55050
2023-03-31 14:45,56000,55000
2023-03-31 16:30,56050,55050
2023-04-01 00:00,56050,55050
2023-04-01 08:30,55900,54900
2023-04-01 08:50,55950,54950
2023-04-01 09:10,56000,55000
2023-04-01 09:25,56000,55100
2023-04-01 09:30,56000,55050
2023-04-01 10:25,56000,55000
2023-04-02 00:00,56000,55000
2023-04-03 00:00,56000,55000
2023-04-03 08:30,55850,54850
2023-04-03 10:00,55800,54800
2023-04-03 12:00,55800,54900
2023-04-03 13:10,55800,54800
2023-04-03 14:20,55850,54850
2023-04-03 14:30,55850,54900
2023-04-03 15:00,55900,54950
2023-04-03 15:05,55850,54900
2023-04-03 15:10,55900,54950
2023-04-03 15:30,55850,54900
2023-04-03 15:55,55900,54950
2023-04-04 00:00,55900,54950
2023-04-04 08:30,56150,55150
2023-04-04 08:35,56100,55100
2023-04-04 14:15,56150,55150
2023-04-04 14:35,56150,55200
2023-04-04 14:45,56100,55150
2023-04-04 14:55,56150,55200
2023-04-04 15:35,56200,55250
2023-04-04 15:40,56100,55150
2023-04-05 00:00,56100,55150
2023-04-05 08:30,56650,55600
2023-04-05 08:35,56700,55650
2023-04-05 09:40,56750,55700
2023-04-05 11:00,56700,55650
2023-04-05 11:15,56650,55600
2023-04-05 14:15,56600,55600
2023-04-05 14:20,56550,55550
2023-04-05 14:35,56600,55600
2023-04-06 00:00,56600,55600
2023-04-06 08:30,56450,55450
2023-04-06 09:10,56400,55400
2023-04-06 09:50,56350,55350
2023-04-06 09:55,56400,55400
2023-04-06 14:20,56450,55450
2023-04-06 14:45,56500,55500
2023-04-06 15:05,56450,55450
2023-04-06 15:55,56500,55500
2023-04-07 00:00,56500,55500
2023-04-07 08:30,56400,55400
2023-04-07 09:05,56450,55450
2023-04-07 09:30,56500,55500
2023-04-07 10:20,56550,55550
2023-04-07 10:50,56600,55600
2023-04-07 13:40,56550,55550
2023-04-07 14:30,56500,55500
2023-04-08 00:00,56500,55500
2023-04-08 10:50,56550,55550
2023-04-09 00:00,56550,55550
2023-04-10 00:00,56550,55550
2023-04-10 08:30,56350,55350
2023-04-10 09:50,56300,55300
2023-04-10 13:15,56350,55350
2023-04-10 13:35,56400,55400
2023-04-10 14:55,56450,55450
2023-04-11 00:00,56450,55450
2023-04-11 08:35,56350,55350
2023-04-11 09:40,56400,55400
2023-04-11 13:05,56450,55450
2023-04-11 14:20,56500,55500
2023-04-11 15:50,56550,55550
2023-04-11 16:35,56500,55500
2023-04-12 00:00,56500,55500
2023-04-12 08:25,56550,55550
2023-04-12 08:35,56600,55600
2023-04-12 08:45,56650,55650
2023-04-12 11:15,56700,55700
2023-04-12 13:30,56650,55650
2023-04-12 15:35,56600,55600
2023-04-13 00:00,56600,55600
2023-04-13 08:30,56650,55650
2023-04-13 08:55,56700,55700
2023-04-13 09:00,56650,55650
2023-04-13 09:25,56700,55700
2023-04-13 10:25,56750,55750
2023-04-13 11:20,56800,55800
2023-04-13 14:15,56850,55850
2023-04-13 14:35,56900,55900
2023-04-13 15:25,56950,55950
2023-04-14 00:00,56950,55950
2023-04-14 08:30,57200,56150
