"Date","Price","Open","High","Low","Vol.","Change %"
"09/18/2012","460.44","470.13","473.64","459.26","18.36K","-1.68%"
"09/17/2012","468.32","464.18","472.47","464.18","12.87K","0.95%"
"09/14/2012","463.90","463.13","465.92","460.16","17.44K","1.71%"
"09/13/2012","456.11","453.87","456.11","452.35","12.86K","0.47%"
"09/12/2012","453.96","453.20","457.49","452.75","13.24K","0.13%"
"09/11/2012","453.39","449.61","453.99","449.61","13.46K","-0.48%"
"09/10/2012","455.59","463.93","464.54","452.63","19.76K","-2.22%"
"09/07/2012","465.94","463.95","467.26","462.41","11.56K","0.50%"
"09/06/2012","463.63","466.77","469.31","463.58","10.71K","-1.24%"
"09/05/2012","469.46","473.42","476.00","466.06","16.84K","-0.70%"
"09/04/2012","472.78","466.59","474.91","466.57","10.11K","1.61%"
"08/31/2012","465.29","465.35","468.25","463.10","12.04K","-0.03%"
"08/30/2012","465.42","460.63","468.59","459.54","13.93K","1.26%"
"08/29/2012","459.64","457.34","463.00","457.34","17.01K","1.22%"
"08/28/2012","454.10","449.05","454.98","446.83","15.57K","-0.49%"
"08/27/2012","456.32","466.31","468.00","454.84","19.88K","-3.48%"
"08/24/2012","472.75","448.65","475.38","446.06","38.81K","1.70%"
"08/23/2012","464.83","472.82","472.85","463.11","22.65K","-4.42%"
"08/22/2012","486.32","480.87","489.90","480.58","26.40K","-2.03%"
"08/21/2012","496.39","510.61","510.61","495.59","27.33K","-4.77%"
"08/20/2012","521.28","517.47","521.75","516.62","14.52K","1.11%"
"08/17/2012","515.55","514.66","517.09","513.46","13.38K","0.21%"
"08/16/2012","514.47","516.79","518.84","513.08","8.72K","-0.31%"
"08/15/2012","516.05","513.83","517.67","513.83","14.85K","0.52%"
"08/14/2012","513.36","509.76","514.80","507.73","30.33K","0.86%"
"08/13/2012","508.99","505.83","508.99","504.37","7.18K","0.47%"
"08/10/2012","506.60","509.28","509.28","505.80","9.35K","-0.39%"
"08/09/2012","508.58","504.91","509.11","504.87","12.45K","0.96%"
"08/08/2012","503.74","501.70","504.00","500.44","7.86K","0.33%"
"08/07/2012","502.07","503.36","505.72","502.07","8.89K","-0.18%"
"08/06/2012","502.97","497.90","504.01","497.90","15.40K","1.12%"
"08/03/2012","497.38","496.32","498.49","495.95","6.73K","0.66%"
"08/02/2012","494.12","492.43","495.69","492.15","6.92K","0.89%"
"08/01/2012","489.76","491.00","491.26","487.65","9.53K","-0.45%"
"07/31/2012","491.98","491.86","493.76","491.15","7.60K","-0.06%"
"07/30/2012","492.29","487.18","492.95","486.57","11.24K","0.55%"
"07/27/2012","489.61","492.91","493.88","488.47","13.74K","-0.24%"
"07/26/2012","490.78","488.89","492.65","488.62","11.82K","0.49%"
"07/25/2012","488.37","488.16","491.43","487.62","13.74K","-0.60%"
"07/24/2012","491.34","494.30","495.23","489.25","14.98K","-0.91%"
"07/23/2012","495.86","496.65","500.33","495.08","16.28K","-0.32%"
"07/20/2012","497.43","507.48","507.98","497.43","26.19K","-1.03%"
"07/19/2012","502.60","494.22","502.60","493.03","25.71K","1.72%"
"07/18/2012","494.11","493.34","495.61","491.73","12.59K","0.22%"
"07/17/2012","493.04","484.62","493.42","484.62","12.63K","0.90%"
"07/16/2012","488.63","493.47","494.06","488.08","10.31K","-0.76%"
"07/13/2012","492.36","484.56","492.44","484.56","16.38K","1.91%"
"07/12/2012","483.12","479.88","483.68","479.54","8.35K","0.32%"
"07/11/2012","481.57","479.15","482.81","479.15","6.96K","0.41%"
"07/10/2012","479.58","482.21","484.13","479.58","8.04K","-0.60%"
"07/09/2012","482.49","487.75","488.99","482.03","10.27K","-1.66%"
"07/06/2012","490.64","489.41","493.74","488.99","10.90K","0.37%"
"07/05/2012","488.82","485.27","488.82","483.75","9.45K","0.70%"
"07/04/2012","485.42","487.69","490.86","485.42","8.39K","-0.31%"
"07/03/2012","486.95","489.92","491.00","485.18","14.68K","-1.16%"
"07/02/2012","492.66","496.45","498.47","491.33","12.21K","-1.02%"
"06/29/2012","497.73","494.03","497.73","492.48","9.13K","1.22%"
"06/28/2012","491.71","492.50","493.38","489.93","11.86K","-0.22%"
"06/27/2012","492.77","494.63","497.29","492.72","13.39K","-0.19%"
"06/26/2012","493.73","496.72","496.72","492.34","17.76K","-0.88%"
"06/25/2012","498.09","499.37","503.58","496.43","16.44K","-0.45%"
"06/22/2012","500.34","503.97","504.21","499.40","17.35K","-0.87%"
"06/21/2012","504.71","504.85","507.84","504.52","13.24K","-0.69%"
"06/20/2012","508.23","507.23","510.37","504.02","10.66K","0.31%"
"06/19/2012","506.67","508.37","510.60","505.02","12.69K","-0.81%"
"06/18/2012","510.81","509.62","514.55","508.64","22.57K","0.57%"
"06/15/2012","507.94","507.94","507.94","507.94","","1.54%"
"06/14/2012","500.24","500.24","500.24","500.24","","-0.78%"
"06/13/2012","504.19","504.19","504.19","504.19","","-0.45%"
"06/12/2012","506.49","506.49","506.49","506.49","","-0.69%"
"06/11/2012","509.99","509.99","509.99","509.99","","0.36%"
"06/08/2012","508.15","508.15","508.15","508.15","","-0.25%"
