date,symbol,price
2020-09-23,FUESSV50,12600
2020-09-24,FUESSV50,12500
2020-09-25,FUESSV50,12550
2020-09-28,FUESSV50,12600
2020-09-29,FUESSV50,12600
2020-09-30,FUESSV50,12700
2020-10-01,FUESSV50,12900
2020-10-02,FUESSV50,12700
2020-10-05,FUESSV50,12900
2020-10-06,FUESSV50,12800
2020-10-07,FUESSV50,12850
2020-10-08,FUESSV50,12700
2020-10-09,FUESSV50,12800
2020-10-12,FUESSV50,12900
2020-10-13,FUESSV50,12900
2020-10-14,FUESSV50,13100
2020-10-15,FUESSV50,13200
2020-10-16,FUESSV50,13200
2020-10-19,FUESSV50,13200
2020-10-20,FUESSV50,13200
2020-10-21,FUESSV50,13400
2020-10-22,FUESSV50,13500
2020-10-23,FUESSV50,13700
2020-10-26,FUESSV50,13600
2020-10-27,FUESSV50,13500
2020-10-28,FUESSV50,13300
2020-10-29,FUESSV50,13000
2020-10-30,FUESSV50,12900
2020-11-02,FUESSV50,13140
2020-11-03,FUESSV50,13200
2020-11-04,FUESSV50,13400
2020-11-05,FUESSV50,13400
2020-11-06,FUESSV50,13400
2020-11-09,FUESSV50,13400
2020-11-10,FUESSV50,13600
2020-11-11,FUESSV50,13600
2020-11-12,FUESSV50,13700
2020-11-13,FUESSV50,13800
2020-11-16,FUESSV50,13800
2020-11-17,FUESSV50,13900
2020-11-18,FUESSV50,13900
2020-11-19,FUESSV50,14000
2020-11-20,FUESSV50,14100
2020-11-23,FUESSV50,14200
2020-11-24,FUESSV50,14300
2020-11-25,FUESSV50,14400
2020-11-26,FUESSV50,14200
2020-11-27,FUESSV50,14200
2020-11-30,FUESSV50,14190
2020-12-01,FUESSV50,14300
2020-12-02,FUESSV50,14390
2020-12-03,FUESSV50,14400
2020-12-04,FUESSV50,14410
2020-12-07,FUESSV50,14440
2020-12-08,FUESSV50,14500
2020-12-09,FUESSV50,14800
2020-12-10,FUESSV50,14700
2020-12-11,FUESSV50,14750
2020-12-14,FUESSV50,14900
2020-12-15,FUESSV50,15000
2020-12-16,FUESSV50,15100
2020-12-17,FUESSV50,15000
2020-12-18,FUESSV50,15300
2020-12-21,FUESSV50,15500
2020-12-22,FUESSV50,15600
2020-12-23,FUESSV50,15800
2020-12-24,FUESSV50,15500
2020-12-25,FUESSV50,15800
2020-12-28,FUESSV50,15900
2020-12-29,FUESSV50,15800
2020-12-30,FUESSV50,15600
2020-12-31,FUESSV50,15800
2021-01-04,FUESSV50,16200
2021-01-05,FUESSV50,16300
2021-01-06,FUESSV50,16400
2021-01-07,FUESSV50,16500
2021-01-08,FUESSV50,16700
2021-01-11,FUESSV50,16400
2021-01-12,FUESSV50,17100
2021-01-13,FUESSV50,17200
2021-01-14,FUESSV50,17300
2021-01-15,FUESSV50,17500
2021-01-18,FUESSV50,17600
2021-01-19,FUESSV50,16500
2021-01-20,FUESSV50,16500
2021-01-21,FUESSV50,16600
2021-01-22,FUESSV50,16800
2021-01-25,FUESSV50,17000
2021-01-26,FUESSV50,16800
2021-01-27,FUESSV50,15700
2021-01-28,FUESSV50,15250
2021-01-29,FUESSV50,15800
2021-02-01,FUESSV50,15800
2021-02-02,FUESSV50,15500
