"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 09, 2010","492.05","492.05","492.05","492.05","-","-1.94%"
"Aug 06, 2010","501.78","501.78","501.78","501.78","-","-0.84%"
"Aug 05, 2010","506.05","506.05","506.05","506.05","-","0.37%"
"Aug 04, 2010","504.16","504.16","504.16","504.16","-","-1.08%"
"Aug 03, 2010","509.64","509.64","509.64","509.64","-","0.27%"
"Aug 02, 2010","508.27","508.27","508.27","508.27","-","-0.77%"
"Jul 30, 2010","512.21","512.21","512.21","512.21","-","0.70%"
"Jul 29, 2010","508.64","508.64","508.64","508.64","-","0.08%"
"Jul 28, 2010","508.23","508.23","508.23","508.23","-","-0.97%"
"Jul 27, 2010","513.23","513.23","513.23","513.23","-","0.16%"
"Jul 26, 2010","512.39","512.39","512.39","512.39","-","-0.58%"
"Jul 23, 2010","515.39","515.39","515.39","515.39","-","0.16%"
"Jul 22, 2010","514.58","514.58","514.58","514.58","-","-0.79%"
"Jul 21, 2010","518.66","518.66","518.66","518.66","-","-0.20%"
"Jul 20, 2010","519.72","519.72","519.72","519.72","-","-0.41%"
"Jul 19, 2010","521.85","521.85","521.85","521.85","-","0.08%"
"Jul 16, 2010","521.45","521.45","521.45","521.45","-","0.12%"
"Jul 15, 2010","520.83","520.83","520.83","520.83","-","-0.52%"
"Jul 14, 2010","523.57","523.57","523.57","523.57","-","-0.43%"
"Jul 13, 2010","525.82","525.82","525.82","525.82","-","2.04%"
"Jul 12, 2010","515.32","515.32","515.32","515.32","-","0.09%"
"Jul 09, 2010","514.84","514.84","514.84","514.84","-","-0.04%"
"Jul 08, 2010","515.04","515.04","515.04","515.04","-","0.37%"
"Jul 07, 2010","513.12","513.12","513.12","513.12","-","-0.93%"
"Jul 06, 2010","517.94","517.94","517.94","517.94","-","-1.15%"
"Jul 05, 2010","523.94","523.94","523.94","523.94","-","0.84%"
"Jul 02, 2010","519.60","519.60","519.60","519.60","-","-0.46%"
"Jul 01, 2010","522.02","522.02","522.02","522.02","-","-0.52%"
"Jun 30, 2010","524.73","524.73","524.73","524.73","-","-0.48%"
"Jun 29, 2010","527.25","527.25","527.25","527.25","-","1.23%"
"Jun 28, 2010","520.86","520.86","520.86","520.86","-","0.20%"
"Jun 25, 2010","519.80","519.80","519.80","519.80","-","-1.77%"
"Jun 24, 2010","529.19","529.19","529.19","529.19","-","0.09%"
"Jun 23, 2010","528.73","528.73","528.73","528.73","-","-0.42%"
"Jun 22, 2010","530.97","530.97","530.97","530.97","-","0.12%"
"Jun 21, 2010","530.36","530.36","530.36","530.36","-","0.72%"
"Jun 18, 2010","526.57","526.57","526.57","526.57","-","0.39%"
"Jun 17, 2010","524.54","524.54","524.54","524.54","-","0.14%"
"Jun 16, 2010","523.83","523.83","523.83","523.83","-","0.78%"
"Jun 15, 2010","519.79","519.79","519.79","519.79","-","-0.46%"
"Jun 14, 2010","522.20","522.20","522.20","522.20","-","0.52%"
"Jun 11, 2010","519.51","519.51","519.51","519.51","-","0.87%"
"Jun 10, 2010","515.04","515.04","515.04","515.04","-","0.79%"
"Jun 09, 2010","511.01","511.01","511.01","511.01","-","0.38%"
"Jun 08, 2010","509.07","509.07","509.07","509.07","-","-0.17%"
"Jun 07, 2010","509.95","509.95","509.95","509.95","-","-2.64%"
"Jun 04, 2010","523.78","523.78","523.78","523.78","-","-0.06%"
"Jun 03, 2010","524.09","524.09","524.09","524.09","-","0.13%"
"Jun 02, 2010","523.42","523.42","523.42","523.42","-","0.26%"
"Jun 01, 2010","522.05","522.05","522.05","522.05","-","0.33%"
"May 31, 2010","520.32","520.32","520.32","520.32","-","-1.33%"
"May 28, 2010","527.32","527.32","527.32","527.32","-","2.41%"
"May 27, 2010","514.90","514.90","514.90","514.90","-","0.54%"
"May 26, 2010","512.14","512.14","512.14","512.14","-","0.81%"
"May 25, 2010","508.03","508.03","508.03","508.03","-","0.29%"
"May 24, 2010","506.58","506.58","506.58","506.58","-","2.08%"
"May 21, 2010","496.24","496.24","496.24","496.24","-","-4.00%"
"May 20, 2010","516.91","516.91","516.91","516.91","-","2.41%"
"May 19, 2010","504.76","504.76","504.76","504.76","-","-3.23%"
"May 18, 2010","521.61","521.61","521.61","521.61","-","-0.41%"
"May 17, 2010","523.76","523.76","523.76","523.76","-","-2.62%"
"May 14, 2010","537.83","537.83","537.83","537.83","-","0.05%"
"May 13, 2010","537.58","537.58","537.58","537.58","-","0.37%"
"May 12, 2010","535.58","535.58","535.58","535.58","-","-2.51%"
"May 11, 2010","549.35","549.35","549.35","549.35","-","0.36%"
"May 10, 2010","547.38","547.38","547.38","547.38","-","-1.41%"
"May 07, 2010","555.20","555.20","555.20","555.20","-","-1.31%"
"May 06, 2010","562.56","562.56","562.56","562.56","-","-0.51%"
"May 05, 2010","565.47","565.47","565.47","565.47","-","-0.50%"
"May 04, 2010","568.34","568.34","568.34","568.34","-","1.38%"
"Apr 29, 2010","560.62","560.62","560.62","560.62","-","-0.12%"
"Apr 28, 2010","561.29","561.29","561.29","561.29","-","0.22%"
