"date" "TCEF" "BVFED" "VCBFBCF" "VFMVF4" "ETF_VFMVN30" "ETF_SSIVN50" "SSIBF" "TCBF" "VEOF" "SSISCA" "VCBFTBF" "VFMVF1"
"2014-11-30" NA NA 9765 NA NA NA NA NA 9978 9834 11190 NA
"2014-12-02" NA NA NA 9565 NA NA NA NA 9815 NA NA NA
"2014-12-03" NA NA 9783 NA NA NA NA NA NA 9894 11255 NA
"2014-12-05" NA NA 9910 NA NA NA NA NA NA NA 11376 NA
"2014-12-09" NA NA NA 9102 NA NA NA NA 9800 NA NA NA
"2014-12-10" NA NA 9614 NA NA NA NA NA NA 9879 10923 NA
"2014-12-12" NA NA 9672 NA NA NA NA NA NA NA 11017 NA
"2014-12-16" NA NA NA 8875 NA NA NA NA 9775 NA NA NA
"2014-12-17" NA NA 9535 NA NA NA NA NA NA 9476 10829 NA
"2014-12-19" NA NA 9447 NA NA NA NA NA NA NA 10721 NA
"2014-12-23" NA NA NA 8835 NA NA NA NA 9432 NA NA NA
"2014-12-24" NA NA 9542 NA NA NA NA NA NA 9713 10833 NA
"2014-12-26" NA NA 9537 NA NA NA NA NA NA NA 10820 NA
"2014-12-30" NA NA 9529 8799 NA NA NA NA 9065 NA 10786 NA
"2014-12-31" NA NA 9651 NA NA NA NA NA 9403 9816 10943 NA
"2015-01-05" NA NA NA NA 9400 8625 NA NA NA NA NA 20682
"2015-01-06" NA NA NA 9017 9400 8815 NA NA 9353 NA NA 20795
"2015-01-07" NA NA 9604 NA 9400 8837 NA NA NA 9853 10886 20916
"2015-01-08" NA NA NA NA 9300 8813 NA NA NA NA NA 20840
"2015-01-09" NA NA 9619 NA 9500 9014 NA NA NA NA 10900 21203
"2015-01-12" NA NA NA NA 9600 8908 NA NA NA NA NA 21133
"2015-01-13" NA NA NA 9245 9600 8958 NA NA 9512 NA NA 21250
"2015-01-14" NA NA 9778 NA 9600 8914 NA NA NA 9942 11059 21304
"2015-01-15" NA NA NA NA 9500 9070 NA NA NA NA NA 21432
"2015-01-16" NA NA 9807 NA 9500 9023 NA NA NA NA 11102 21325
"2015-01-19" NA NA NA NA 9500 8987 NA NA NA NA NA 21222
"2015-01-20" NA NA NA 9218 9400 8943 NA NA 9567 NA NA 21279
"2015-01-21" NA NA 9766 NA 9400 8841 NA NA NA 9916 11052 21270
"2015-01-22" NA NA NA NA 9400 8965 NA NA NA NA NA 21354
"2015-01-23" NA NA 9761 NA 9500 9130 NA NA NA NA 11045 21501
"2015-01-26" NA NA NA NA 9500 9102 NA NA NA NA NA 21481
"2015-01-27" NA NA NA 9337 9500 8953 NA NA 9627 NA NA 21419
"2015-01-28" NA NA 9821 NA 9500 9087 NA NA NA 9891 11107 21452
"2015-01-29" NA NA NA NA 9500 9090 NA NA NA NA NA 21515
"2015-01-30" NA NA 9869 NA 9500 8874 NA NA NA NA 11164 21343
"2015-01-31" NA NA 9769 NA NA 8873 NA NA 9578 9879 11078 NA
"2015-02-02" NA NA NA NA 9300 8759 NA NA NA NA NA 21222
"2015-02-03" NA NA NA 9099 9300 8536 NA NA 9548 NA NA 21009
"2015-02-04" NA NA 9616 NA 9300 8613 NA NA NA 9813 10928 21101
"2015-02-05" NA NA NA NA 9200 8621 NA NA NA NA NA 21171
"2015-02-06" NA NA 9679 NA 9200 8726 NA NA NA NA 11005 21349
"2015-02-09" NA NA NA NA 9300 8658 NA NA NA NA NA 21221
"2015-02-10" NA NA NA 9244 9200 8676 NA NA 9623 NA NA 21213
"2015-02-11" NA NA 9727 NA 9300 8796 NA NA NA 9932 11026 21484
"2015-02-12" NA NA NA NA 9400 8819 NA NA NA NA NA 21649
"2015-02-13" NA NA 9829 NA 9500 8865 NA NA NA NA 11165 21719
"2015-02-17" NA NA NA NA NA NA NA NA 9847 NA NA NA
"2015-02-23" NA NA NA 9502 NA NA NA NA NA NA NA NA
"2015-02-24" NA NA NA 9573 9500 8960 NA NA 9732 9950 NA 21783
"2015-02-25" NA NA 9847 NA 9600 8850 NA NA NA 9979 11172 21620
"2015-02-26" NA NA NA NA 9500 8922 NA NA NA NA NA 21779
"2015-02-27" NA NA 9850 NA 9500 8885 NA NA NA NA 11169 21707
"2015-02-28" NA NA 9810 NA NA 8885 NA NA 9725 9969 11132 NA
"2015-03-02" NA NA NA NA 9500 8828 NA NA NA NA NA 21592
"2015-03-03" NA NA NA 9552 9600 8948 NA NA 9695 NA NA 21810
"2015-03-04" NA NA 9926 NA 9600 9046 NA NA NA 10025 11227 22025
"2015-03-05" NA NA NA NA 9600 9062 NA NA NA NA NA 21987
"2015-03-06" NA NA 10011 NA 9700 9032 NA NA NA NA 11319 22000
"2015-03-09" NA NA NA NA 9600 8898 NA NA NA NA NA 21872
"2015-03-10" NA NA NA 9530 9600 8942 NA NA 9871 NA NA 21879
"2015-03-11" NA NA 9983 NA 9500 8896 NA NA NA 10019 11292 21757
"2015-03-12" NA NA NA NA 9500 8896 NA NA NA NA NA 21773
"2015-03-13" NA NA 9950 NA 9500 8850 NA NA NA NA 11253 21716
"2015-03-16" NA NA NA NA 9400 8744 NA NA NA NA NA 21540
"2015-03-17" NA NA NA 9403 9400 8797 NA NA 9840 NA NA 21586
"2015-03-18" NA NA 9911 NA 9400 8754 NA NA NA 9972 11200 21444
"2015-03-19" NA NA NA NA 9300 8700 NA NA NA NA NA 21281
"2015-03-20" NA NA 9861 NA 9300 8761 NA NA NA NA 11149 21410
