"date","TCEF","TCBF"
"2018-08-07",13578,12323
"2018-08-08",13568,12355
"2018-08-09",13590,12339
"2018-08-10",13592,12335
"2018-08-13",13598,12329
"2018-08-14",13633,12333
"2018-08-15",13645,12347
"2018-08-16",13611,12348
"2018-08-17",13627,12374
"2018-08-20",13599,12341
"2018-08-21",13584,12354
"2018-08-22",13635,12345
"2018-08-23",13620,12356
"2018-08-24",13617,12374
"2018-08-27",13623,12378
"2018-08-28",13610,12361
"2018-08-29",13637,12365
"2018-08-31",13634,12394
"2018-09-03",13634,12394
"2018-09-04",13634,12376
"2018-09-05",13620,12393
"2018-09-06",13592,12386
"2018-09-07",13580,12407
"2018-09-10",13615,12405
"2018-09-11",13635,12393
"2018-09-12",13637,12421
"2018-09-13",13624,12421
"2018-09-14",13650,12414
"2018-09-17",13637,12395
"2018-09-18",13661,12436
"2018-09-19",13714,12452
"2018-09-20",13711,12439
"2018-09-21",13744,12444
"2018-09-24",13744,12412
"2018-09-25",13761,12453
"2018-09-26",13751,12434
"2018-09-27",13755,12434
"2018-09-28",13793,12473
"2018-10-01",13786,12474
"2018-10-02",13775,12467
"2018-10-03",13733,12487
"2018-10-04",13733,12477
"2018-10-05",13755,12489
"2018-10-08",13714,12497
"2018-10-09",13628,12459
"2018-10-10",13587,12489
"2018-10-11",13590,12460
"2018-10-12",13186,12473
"2018-10-15",13411,12496
"2018-10-16",13236,12509
"2018-10-17",13291,12512
"2018-10-18",13359,12534
"2018-10-19",13260,12534
"2018-10-22",13260,12511
"2018-10-23",13128,12524
"2018-10-24",12944,12515
"2018-10-25",12944,12522
"2018-10-26",12602,12527
"2018-10-29",12514,12519
"2018-10-30",12380,12530
"2018-10-31",12444,12528
"2018-11-01",12721,12527
"2018-11-02",12608,12531
"2018-11-05",12786,12536
"2018-11-06",12751,12534
"2018-11-07",12723,12540
"2018-11-08",12702,12538
"2018-11-09",12759,12537
"2018-11-12",12565,12550
"2018-11-13",12633,12550
"2018-11-14",12484,12551
"2018-11-15",12459,12566
"2018-11-16",12421,12561
"2018-11-19",12505,12569
"2018-11-20",12576,12581
"2018-11-21",12593,12585
"2018-11-22",12599,12586
"2018-11-23",12631,12588
"2018-11-26",12567,12587
"2018-11-27",12598,12590
"2018-11-28",12606,12591
"2018-11-29",12638,12603
"2018-11-30",12614,12606
"2018-12-03",12616,12607
"2018-12-04",12782,12608
"2018-12-05",12865,12626
"2018-12-06",12858,12617
"2018-12-07",12826,12632
"2018-12-10",12881,12624
"2018-12-11",12839,12622
"2018-12-12",12821,12634
"2018-12-13",12886,12625
"2018-12-14",12917,12666
"2018-12-17",12828,12655
"2018-12-18",12689,12680
"2018-12-19",12632,12677
"2018-12-20",12607,12681
"2018-12-21",12605,12690
"2018-12-24",12605,12698
"2018-12-25",12531,12690
"2018-12-26",12486,12699
"2018-12-27",12460,12693
"2018-12-28",12579,12725
"2018-12-31",12579,12725
"2019-01-01",12579,12725
"2019-01-02",12597,12741
"2019-01-03",12589,12735
"2019-01-04",12529,12743
"2019-01-07",12540,12751
"2019-01-08",12573,12747
"2019-01-09",12547,12746
"2019-01-10",12606,12757
"2019-01-11",12609,12761
"2019-01-14",12635,12761
"2019-01-15",12624,12765
"2019-01-16",12651,12772
"2019-01-17",12617,12760
"2019-01-18",12612,12773
"2019-01-21",12586,12775
"2019-01-22",12644,12788
"2019-01-23",12634,12791
"2019-01-24",12615,12792
"2019-01-25",12613,12795
"2019-01-28",12626,12782
"2019-01-29",12621,12774
"2019-01-30",12680,12784
"2019-01-31",12666,12793
"2019-02-01",12683,12817
"2019-02-04",12683,12817
"2019-02-05",12683,12817
"2019-02-06",12683,12817
"2019-02-07",12683,12817
"2019-02-08",12683,12817
"2019-02-11",12698,12796
"2019-02-12",12774,12806
"2019-02-13",12803,12805
"2019-02-14",12832,12812
"2019-02-15",12835,12841
"2019-02-18",12823,12841
"2019-02-19",12908,12861
"2019-02-20",12841,12842
"2019-02-21",12865,12862
"2019-02-22",12855,12843
"2019-02-25",12876,12854
"2019-02-26",12924,12855
"2019-02-27",12933,12865
"2019-02-28",12892,12875
"2019-03-01",12782,12884
"2019-03-04",12844,12881
"2019-03-05",12890,12892
"2019-03-06",12887,12888
"2019-03-07",12882,12931
"2019-03-08",12933,12934
"2019-03-11",12862,12934
"2019-03-12",12851,12917
"2019-03-13",12940,12912
"2019-03-14",12950,12916
"2019-03-15",12977,12917
"2019-03-18",12946,12916
"2019-03-19",12925,12924
"2019-03-20",12889,12936
"2019-03-21",12865,12927
"2019-03-22",12828,12939
"2019-03-25",12845,12942
"2019-03-26",12764,12948
"2019-03-27",12769,12954
"2019-03-28",12799,12957
"2019-03-29",12837,12953
"2019-04-01",12814,12957
"2019-04-02",12836,12961
"2019-04-03",12818,12962
"2019-04-04",12820,12964
"2019-04-05",12837,12965
"2019-04-08",12841,12970
"2019-04-09",12860,12974
"2019-04-10",12832,12977
"2019-04-11",12831,12973
"2019-04-12",12813,12993
"2019-04-15",12813,12993
"2019-04-16",12826,12999
"2019-04-17",12798,12999
"2019-04-18",12778,12992
"2019-04-19",12756,13010
"2019-04-22",12751,13011
"2019-04-23",12723,13020
"2019-04-24",12733,13021
"2019-04-25",12785,13026
"2019-04-26",12780,13024
"2019-04-29",12780,13024
"2019-04-30",12780,13024
"2019-05-01",12780,13024
"2019-05-02",12824,13039
"2019-05-03",12835,13039
"2019-05-06",12841,13043
"2019-05-07",12726,13053
"2019-05-08",12756,13053
"2019-05-09",12749,13054
"2019-05-10",12687,13052
"2019-05-13",12717,13053
"2019-05-14",12747,13051
"2019-05-15",12799,13054
"2019-05-16",12810,13056
"2019-05-17",12778,13055
"2019-05-20",12754,13063
"2019-05-21",12848,13066
"2019-05-22",12854,13068
"2019-05-23",12825,13085
"2019-05-24",12836,13087
"2019-05-27",12770,13087
"2019-05-28",12757,13087
"2019-05-29",12768,13097
"2019-05-30",12718,13095
"2019-05-31",12720,13094
"2019-06-03",12627,13099
"2019-06-04",12500,13134
"2019-06-05",12513,13134
"2019-06-06",12528,13107
"2019-06-07",12530,13110
"2019-06-10",12608,13119
"2019-06-11",12631,13120
"2019-06-12",12651,13123
"2019-06-13",12612,13129
"2019-06-14",12577,13129
"2019-06-17",12590,13132
"2019-06-18",12552,13141
"2019-06-19",12566,13142
"2019-06-20",12589,13142
"2019-06-21",12685,13148
"2019-06-24",12682,13150
"2019-06-25",12701,13153
"2019-06-26",12692,13156
"2019-06-27",12663,13189
"2019-06-28",12590,13190
"2019-07-01",12654,13193
"2019-07-02",12741,13196
"2019-07-03",12731,13205
"2019-07-04",12724,13211
"2019-07-05",12792,13221
