"date","XAU_VND"
"2016-10-11","33695515.0857375"
"2016-10-12","33745384.8150855"
"2016-10-13","33825693.917916"
"2016-10-14","33625937.0927025"
"2016-10-17","33775770.00441"
"2016-10-18","33963253.629528"
"2016-10-19","34133558.46516"
"2016-10-20","34047476.5491"
"2016-10-21","34080629.07915"
"2016-10-24","34015431.792096"
"2016-10-25","34305841.9328625"
"2016-10-26","34133678.1369135"
"2016-10-27","34154443.23885"
"2016-10-28","34344486.938835"
"2016-10-31","34368158.62779"
"2016-11-01","34671129.1241925"
"2016-11-02","34908877.9844295"
"2016-11-03","35080006.5301875"
"2016-11-04","35093460.0322125"
"2016-11-07","34501306.502247"
"2016-11-08","34370560.840356"
"2016-11-09","34403330.4642"
"2016-11-10","33900924.099924"
"2016-11-11","32999327.05608"
"2016-11-14","32878414.420254"
"2016-11-15","33094297.199628"
"2016-11-16","33085862.255055"
"2016-11-17","32868737.7915645"
"2016-11-18","32775071.31717"
"2016-11-21","33030197.618025"
"2016-11-22","32929066.914156"
"2016-11-23","32392540.722891"
"2016-11-24","32505286.176"
"2016-11-25","32464445.5662135"
"2016-11-28","32670919.45464"
"2016-11-29","32491602.08385"
"2016-11-30","32050728.35382"
"2016-12-01","32036582.96085"
"2016-12-02","32204487.41658"
"2016-12-05","32050467.07863"
"2016-12-06","32050329.14655"
"2016-12-07","32131663.86"
"2016-12-08","31952559.5364"
"2016-12-09","31540120.8844575"
"2016-12-12","31700379.8156325"
"2016-12-13","31647468.0027"
"2016-12-14","31338118.840875"
"2016-12-15","30945665.419995"
"2016-12-16","31107720.12075"
"2016-12-19","31257504.8346"
"2016-12-20","31072941.70425"
"2016-12-21","31068104.55642"
"2016-12-22","30973208.49108"
"2016-12-23","31104245.4802335"
"2016-12-26","31121379.158454"
"2016-12-27","31271232.21138"
"2016-12-28","31365958.695015"
"2016-12-29","31811445.565872"
"2016-12-30","31624035.645195"
"2017-01-02","31587520.502244"
"2017-01-03","31785031.4097825"
"2017-01-04","31891083.90765"
"2017-01-05","32280551.41248"
"2017-01-06","31904661.4460625"
"2017-01-09","32163289.0997175"
"2017-01-10","32322983.781378"
"2017-01-11","32436269.73774"
"2017-01-12","32538517.510602"
"2017-01-13","32591501.20134"
"2017-01-16","32742893.559399"
"2017-01-17","33106742.796738"
"2017-01-18","32758586.528604"
"2017-01-19","32787786.62937"
"2017-01-20","32927675.632812"
"2017-01-23","33105167.38089"
"2017-01-24","32902209.548775"
"2017-01-25","32696177.0309475"
"2017-01-26","32376382.0460325"
"2017-01-27","32458918.5711"
"2017-01-30","32561067.7357875"
"2017-01-31","32977291.5321675"
"2017-02-01","32946238.1861025"
"2017-02-02","33194964.6916425"
"2017-02-03","33277060.7745"
"2017-02-06","33653471.99517"
"2017-02-07","33632289.17244"
"2017-02-08","33925122.655665"
"2017-02-09","33644185.93491"
"2017-02-10","33695272.77018"
"2017-02-13","33502607.4564"
"2017-02-14","33692966.326365"
"2017-02-15","33863740.16724"
"2017-02-16","34007882.868225"
"2017-02-17","33950625.742635"
"2017-02-20","34066159.943673"
"2017-02-21","34025197.6546425"
"2017-02-22","34072547.7844725"
"2017-02-23","34391423.33271"
"2017-02-24","34577478.203328"
"2017-02-27","34411134.140424"
"2017-02-28","34255945.033065"
"2017-03-01","34333310.6424"
"2017-03-02","33988135.6122"
"2017-03-03","33994105.937175"
"2017-03-06","33708982.06146"
"2017-03-07","33426048.339795"
"2017-03-08","33196325.8968"
"2017-03-09","33014388.2686275"
"2017-03-10","33113031.318"
"2017-03-13","33106544.953425"
"2017-03-14","32969889.89058"
"2017-03-15","33561688.56495"
"2017-03-16","33694550.55588"
"2017-03-17","33764831.5624425"
"2017-03-20","33908703.794775"
"2017-03-21","34198731.01125"
"2017-03-22","34305416.65233"
"2017-03-23","34225739.89695"
"2017-03-24","34183432.3360875"
"2017-03-27","34441336.78074"
"2017-03-28","34369531.377525"
"2017-03-29","34390538.34891"
"2017-03-30","34133295.8637"
"2017-03-31","34270760.312955"
"2017-04-03","34356315.699825"
"2017-04-04","34374401.98353"
"2017-04-05","34341660.1149"
"2017-04-06","34245909.4494"
"2017-04-07","34292343.3678"
"2017-04-10","34318502.295285"
"2017-04-11","34811498.73774"
"2017-04-12","35170797.69945"
"2017-04-13","35213605.71624"
"2017-04-14","35324189.7169875"
"2017-04-17","35202919.356"
"2017-04-18","35319983.90382"
"2017-04-19","35083686.163818"
"2017-04-20","35129818.36785"
"2017-04-21","35190827.692125"
"2017-04-24","34934935.6512"
"2017-04-25","34687381.80948"
"2017-04-26","34796623.2632775"
"2017-04-27","34660121.89704"
"2017-04-28","34775003.7962925"
"2017-05-01","34473615.54"
"2017-05-02","34476358.5075"
"2017-05-03","33957162.565755"
"2017-05-04","33676783.48125"
"2017-05-05","33650604.177435"
"2017-05-08","33607439.4543"
"2017-05-09","33474092.952825"
"2017-05-10","33426188.9847"
"2017-05-11","33559578.9818025"
"2017-05-12","33618993.110721"
"2017-05-15","33655588.493007"
"2017-05-16","33775901.064"
"2017-05-17","34467682.89315"
"2017-05-18","34130997.7995"
"2017-05-19","34287946.78275"
"2017-05-22","34517018.027175"
"2017-05-23","34243485.9924"
"2017-05-24","34388842.0194375"
"2017-05-25","34331533.4406"
"2017-05-26","34716577.654125"
"2017-05-29","34738827.063189"
"2017-05-30","34608349.50075"
"2017-05-31","34743477.544545"
"2017-06-01","34655054.58108"
"2017-06-02","35055420.89049"
"2017-06-05","35054599.266225"
"2017-06-06","35454995.055"
"2017-06-07","35260732.369575"
"2017-06-08","34987293.1737"
"2017-06-09","34641509.265"
"2017-06-12","34631085.928215"
"2017-06-13","34634095.5664125"
"2017-06-14","34525330.30383"
"2017-06-15","34306095.582"
"2017-06-16","34295973.36879"
"2017-06-19","34049478.915375"
"2017-06-20","34062824.808675"
"2017-06-21","34117313.1045"
"2017-06-22","34243785.24714"
"2017-06-23","34438472.39925"
"2017-06-26","34097348.219625"
"2017-06-27","34169956.98075"
"2017-06-28","34253378.51976"
"2017-06-29","34143958.531935"
"2017-06-30","34019259.552"
"2017-07-03","33455484.275481"
"2017-07-04","33553176.8112585"
"2017-07-05","33640046.4051"
"2017-07-06","33583308.875925"
"2017-07-07","33232892.96925"
"2017-07-10","33272622.291375"
"2017-07-11","33364136.729925"
"2017-07-12","33431107.035"
"2017-07-13","33357560.842125"
"2017-07-14","33673477.45185"
"2017-07-17","33829424.4984"
"2017-07-18","34050313.32006"
"2017-07-19","34014219.062865"
"2017-07-20","34120301.91423"
"2017-07-21","34383673.33425"
"2017-07-24","34400556.38964"
"2017-07-25","34234680.9160125"
"2017-07-26","34557351.706425"
"2017-07-27","34496011.4175"
"2017-07-28","34782212.7971625"
"2017-07-31","34787372.5300275"
"2017-08-01","34771376.719125"
"2017-08-02","34706987.81775"
"2017-08-03","34771888.9909125"
"2017-08-04","34500226.5447"
"2017-08-07","34475281.998255"
"2017-08-08","34556146.18728"
"2017-08-09","35011204.2845325"
"2017-08-10","35275974.52755"
"2017-08-11","35327637.2955675"
"2017-08-14","35128694.8061625"
"2017-08-15","34859601.7970775"
"2017-08-16","35160207.734925"
"2017-08-17","35296307.1931245"
"2017-08-18","35200120.022025"
"2017-08-21","35382716.414535"
"2017-08-22","35206148.847564"
"2017-08-23","35377945.64049"
"2017-08-24","35265778.1698185"
"2017-08-25","35388581.9340375"
"2017-08-28","35922613.923855"
"2017-08-29","35899423.610625"
"2017-08-30","35871246.94419"
"2017-08-31","36228084.9817725"
"2017-09-01","36311546.15817"
"2017-09-04","36577380.09987"
"2017-09-05","36702667.7688585"
"2017-09-06","36554812.28955"
"2017-09-07","36967449.249"
"2017-09-08","36900848.141322"
"2017-09-11","36359945.72928"
"2017-09-12","36494533.31805"
"2017-09-13","36256431.380625"
"2017-09-14","36436720.304475"
"2017-09-15","36156971.07765"
"2017-09-18","35826806.711025"
"2017-09-19","35928458.9766"
"2017-09-20","35654823.7037625"
"2017-09-21","35383482.275175"
"2017-09-22","35547605.47485"
"2017-09-25","35924258.619225"
"2017-09-26","35459781.32229"
"2017-09-27","35109812.30832"
"2017-09-28","35271418.18725"
"2017-09-29","35064045.02145"
"2017-10-02","34831925.22486"
"2017-10-03","34845355.456875"
"2017-10-04","34925910.082425"
"2017-10-05","34743977.186625"
"2017-10-06","34962625.455975"
"2017-10-09","35184513.802935"
"2017-10-10","35294251.73385"
"2017-10-11","35385370.94394"
"2017-10-12","35436236.7744"
"2017-10-13","35745235.49952"
"2017-10-16","35463562.698915"
"2017-10-17","35203533.0753855"
"2017-10-18","35094963.1663455"
"2017-10-19","35335755.2736675"
"2017-10-20","35081092.196724"
"2017-10-23","35125799.9445765"
"2017-10-24","34973064.756228"
"2017-10-25","35000436.810825"
"2017-10-26","34718221.626075"
"2017-10-27","34866165.53745"
"2017-10-30","34945297.91928"
"2017-10-31","34817700.37626"
"2017-11-01","34900020.1044105"
"2017-11-02","34942298.7103875"
"2017-11-03","34774158.1183125"
"2017-11-06","35098419.227025"
"2017-11-07","34931239.7647335"
"2017-11-08","35083848.0411"
"2017-11-09","35197248.044625"
"2017-11-10","34947945.021573"
"2017-11-13","34989363.2701725"
"2017-11-14","35075413.747605"
"2017-11-15","35016936.27276"
"2017-11-16","35007899.997369"
"2017-11-17","35445625.1081625"
"2017-11-20","34957893.3849"
"2017-11-21","35061395.25456"
"2017-11-22","35399589.16119"
"2017-11-23","35383538.4909375"
"2017-11-24","35296625.75715"
"2017-11-27","35460890.928"
"2017-11-28","35439667.171755"
"2017-11-29","35161479.92928"
"2017-11-30","34916300.71371"
"2017-12-01","35059230.359925"
"2017-12-04","34951948.4821095"
"2017-12-05","34687607.094525"
"2017-12-06","34616125.78347"
"2017-12-07","34141710.986565"
"2017-12-08","34176631.699779"
"2017-12-11","34006661.91612"
"2017-12-12","34063661.8357575"
"2017-12-13","34381335.5723775"
"2017-12-14","34312398.680175"
"2017-12-15","34374618.828675"
"2017-12-18","34553743.3537785"
"2017-12-19","34553043.704154"
"2017-12-20","34658321.847225"
"2017-12-21","34693358.46438"
"2017-12-22","34916999.2179195"
"2017-12-25","34919454.029148"
"2017-12-26","35126732.6499825"
"2017-12-27","35251924.7973885"
"2017-12-28","35455373.427774"
"2017-12-29","35665703.78985"
"2018-01-01","35783717.82642"
"2018-01-02","36092580.54858"
"2018-01-03","35945084.542698"
"2018-01-04","36225151.9585758"
"2018-01-05","36148464.2552715"
"2018-01-08","36163371.837525"
"2018-01-09","35941738.881939"
"2018-01-10","36072126.6498705"
"2018-01-11","36205787.037255"
"2018-01-12","36646521.81036"
"2018-01-15","36694712.096064"
"2018-01-16","36653885.7497085"
"2018-01-17","36359170.7354625"
"2018-01-18","36345983.3193705"
"2018-01-19","36470625.49275"
"2018-01-22","36531470.793597"
"2018-01-23","36730007.8482915"
"2018-01-24","37188931.0037775"
"2018-01-25","36917248.3319475"
"2018-01-26","36969600.784479"
"2018-01-29","36702338.546445"
"2018-01-30","36651435.88185"
"2018-01-31","36830784.3597"
"2018-02-01","36941961.1187385"
"2018-02-02","36498117.635067"
"2018-02-05","36676148.5119"
"2018-02-06","36280964.90394"
"2018-02-07","36091830.9829755"
"2018-02-08","36097814.046171"
"2018-02-09","36040970.9519325"
"2018-02-12","36213596.127072"
"2018-02-13","36409010.4549375"
"2018-02-14","36981691.82139"
"2018-02-15","37051233.040575"
"2018-02-16","36902294.366415"
"2018-02-19","36870261.6000975"
"2018-02-20","36379315.480635"
"2018-02-21","36272129.956335"
"2018-02-22","36478738.0150575"
"2018-02-23","36437170.416399"
"2018-02-26","36555286.394904"
"2018-02-27","36158592.26187"
"2018-02-28","36164807.343945"
"2018-03-01","36113332.3034175"
"2018-03-02","36285052.22694"
"2018-03-05","36233980.137381"
"2018-03-06","36635178.789729"
"2018-03-07","36374314.333491"
"2018-03-08","36282516.856866"
"2018-03-09","36326216.63349"
"2018-03-12","36304390.7205225"
"2018-03-13","36402711.426"
"2018-03-14","36370678.99125"
"2018-03-15","36132356.772435"
"2018-03-16","36065565.1521"
"2018-03-19","36150229.381986"
"2018-03-20","36004796.8412265"
"2018-03-21","36579813.467724"
"2018-03-22","36524770.766925"
"2018-03-23","37039896.940662"
"2018-03-26","37224511.795542"
"2018-03-27","36991154.5227285"
"2018-03-28","36454275.368817"
"2018-03-29","36439373.74875"
"2018-04-02","36861528.3532875"
