"Date","Price","Open","High","Low","Change %"
"Jul 21, 2009","17,808.5","17,810.0","17,814.5","17,760.0","0.02%"
"Jul 20, 2009","17,805.0","17,808.0","17,814.0","17,760.0","-0.02%"
"Jul 17, 2009","17,808.5","17,807.0","17,808.5","17,760.0","0.02%"
"Jul 16, 2009","17,804.5","17,804.0","17,806.5","17,775.0","-0.01%"
"Jul 15, 2009","17,805.5","17,806.0","17,809.5","17,760.0","0.03%"
"Jul 14, 2009","17,801.0","17,805.0","17,807.0","17,760.0","0.16%"
"Jul 13, 2009","17,773.0","17,804.0","17,817.0","17,760.0","-0.18%"
"Jul 10, 2009","17,805.5","17,804.0","17,805.5","17,760.0","0.02%"
"Jul 09, 2009","17,802.5","17,802.0","17,803.5","17,775.0","0.00%"
"Jul 08, 2009","17,802.5","17,803.0","17,806.5","17,760.0","-0.01%"
"Jul 07, 2009","17,803.5","17,803.0","17,803.5","17,760.0","0.01%"
"Jul 06, 2009","17,802.0","17,801.0","17,803.0","17,775.0","0.04%"
"Jul 03, 2009","17,795.5","17,800.0","17,805.5","17,775.0","-0.02%"
"Jul 02, 2009","17,799.0","17,790.0","17,801.0","17,770.0","-0.01%"
"Jul 01, 2009","17,801.0","17,800.0","17,802.0","17,760.0","0.16%"
"Jun 30, 2009","17,773.0","17,800.0","17,813.0","17,760.0","-0.16%"
"Jun 29, 2009","17,802.0","17,803.0","17,805.0","17,760.0","0.00%"
"Jun 26, 2009","17,801.5","17,800.0","17,801.5","17,760.0","0.00%"
"Jun 25, 2009","17,801.5","17,801.0","17,803.5","17,760.0","0.16%"
"Jun 24, 2009","17,773.0","17,799.0","17,813.0","17,760.0","0.00%"
"Jun 23, 2009","17,773.0","17,800.0","17,814.0","17,760.0","0.00%"
"Jun 22, 2009","17,773.0","17,798.0","17,812.0","17,760.0","-0.15%"
"Jun 19, 2009","17,800.5","17,799.0","17,800.5","17,760.0","0.04%"
"Jun 18, 2009","17,794.0","17,797.0","17,803.0","17,760.0","0.12%"
"Jun 17, 2009","17,773.0","17,798.0","17,811.0","17,760.0","-0.12%"
"Jun 16, 2009","17,795.0","17,796.0","17,798.0","17,770.0","0.00%"
"Jun 15, 2009","17,795.0","17,794.0","17,796.0","17,770.0","0.01%"
"Jun 12, 2009","17,793.5","17,792.0","17,793.5","17,760.0","0.02%"
"Jun 11, 2009","17,790.0","17,793.0","17,798.0","17,760.0","0.01%"
"Jun 10, 2009","17,787.5","17,791.0","17,797.5","17,770.0","-0.02%"
"Jun 09, 2009","17,791.0","17,790.0","17,792.0","17,760.0","0.01%"
"Jun 08, 2009","17,789.0","17,788.0","17,789.0","17,770.0","-0.01%"
"Jun 05, 2009","17,790.5","17,786.0","17,790.5","17,770.0","0.06%"
"Jun 04, 2009","17,779.0","17,787.0","17,797.0","17,760.0","0.03%"
"Jun 03, 2009","17,773.0","17,786.0","17,800.0","17,760.0","0.00%"
"Jun 02, 2009","17,773.0","17,784.0","17,798.0","17,760.0","-0.03%"
"Jun 01, 2009","17,778.5","17,785.0","17,793.5","17,770.0","0.02%"
"May 29, 2009","17,775.0","17,783.0","17,794.0","17,760.0","-0.04%"
"May 28, 2009","17,783.0","17,784.0","17,787.0","17,770.0","0.06%"
"May 27, 2009","17,773.0","17,781.0","17,792.0","17,760.0","-0.04%"
"May 26, 2009","17,781.0","17,762.0","17,781.0","17,760.0","-0.01%"
"May 25, 2009","17,783.5","17,782.0","17,783.5","17,760.0","0.01%"
"May 22, 2009","17,782.0","17,781.0","17,782.0","17,760.0","0.01%"
"May 21, 2009","17,781.0","17,780.0","17,781.0","17,760.0","-0.01%"
"May 20, 2009","17,783.0","17,780.0","17,783.0","17,764.0","0.01%"
"May 19, 2009","17,781.5","17,763.0","17,782.5","17,750.0","-0.01%"
