time,open,high,low,close,EMA,EMA,EMA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram
2021-07-09,25620,26620,25620,26150,19604.873257411098,24367.513796410545,25541.17095477122,64.55752143770363,65.02504244757796,NaN,NaN,NaN,NaN,NaN,NaN,50.96053121663408
2021-07-12,26150,26150,24500,25850,19667.013822013974,24425.6505102768,25570.583244793008,58.701191546291575,64.90790622049123,NaN,NaN,NaN,NaN,NaN,NaN,41.582472905120085
2021-07-13,25820,25820,24790,25220,19722.26741582478,24456.8014706581,25537.19436433653,48.70840575128103,64.11432440489247,NaN,NaN,NaN,NaN,NaN,NaN,21.12418586623062
2021-07-14,25000,25300,24200,24980,19774.583162931,24477.319060044058,25484.12823439972,45.52874548051948,62.92562446193471,NaN,NaN,NaN,NaN,NaN,NaN,-0.40679573275156145
2021-07-15,24600,25000,24180,24900,19825.58233543915,24493.894783179585,25428.4969739807,44.48626911249231,61.83725543528432,NaN,NaN,NaN,NaN,NaN,NaN,-19.60234730326738
2021-07-16,24890,24890,24620,24700,19874.08400374324,24501.977340701953,25359.11630979206,41.90310817258366,60.30026991654586,NaN,NaN,NaN,NaN,NaN,NaN,-39.09580069117783
2021-07-19,24180,24700,23610,23610,19911.25729723833,24466.997837145012,25192.53380409758,31.25218864979786,57.73342407865733,NaN,NaN,31.25218864979786,NaN,NaN,NaN,-75.31845377341051
2021-07-20,23610,24500,23330,23820,19950.150259454866,24441.625372943246,25061.81629894543,34.696141430124044,55.4709951949282,NaN,NaN,NaN,NaN,NaN,NaN,-99.80748687670985
2021-07-21,24010,24500,24010,24480,19995.223391201584,24443.130260278806,25006.40522285539,44.163444034846215,53.8460735286238,NaN,NaN,NaN,NaN,NaN,NaN,-106.65078214609184
2021-07-22,24840,24840,24110,24750,20042.53460123938,24455.16436771885,24981.985677821544,47.515585110618105,52.204471546790856,NaN,NaN,NaN,NaN,NaN,NaN,-107.15224723235679
2021-07-23,24750,24750,24340,24400,20085.892465903664,24453.001059180857,24926.558470409967,43.84127502741781,50.06343654814759,NaN,NaN,NaN,NaN,NaN,NaN,-114.36490623787722
2021-07-26,24200,24400,23910,24270,20127.525376690694,24445.824547056116,24864.029092275683,42.525889319262795,48.39801988191202,NaN,NaN,NaN,NaN,NaN,NaN,-122.56521775561669
2021-07-27,24400,24570,24270,24540,20171.430596823124,24449.517702073525,24833.169178725617,46.14031147292088,46.91829891469853,NaN,NaN,NaN,NaN,NaN,NaN,-123.97190695771314
2021-07-28,24540,24540,24130,24400,20213.50591426767,24447.575831403974,24791.91497122794,44.57497857231642,45.6139325084411,NaN,NaN,NaN,NaN,NaN,NaN,-127.80489042520185
2021-07-29,24540,24800,24370,24800,20259.142671339632,24461.39638703519,24792.684973968135,49.81372953165664,44.560804515152036,NaN,NaN,NaN,NaN,NaN,NaN,-123.36561338073716
2021-07-30,24830,25500,24490,25500,20311.290505455654,24502.12594048479,24860.048309780694,57.40186686429984,44.46799560929548,NaN,NaN,NaN,NaN,NaN,NaN,-106.9749654303414
2021-08-02,25500,25720,25300,25600,20363.914480525746,24545.17982517166,24930.51989932539,58.370235809867964,45.15812632776598,NaN,NaN,NaN,NaN,NaN,NaN,-92.73502735635884
2021-08-03,25800,26000,25300,26000,20419.994933455837,24602.231596733556,25032.375147008686,62.08324577908788,46.34059063480658,NaN,NaN,NaN,NaN,NaN,NaN,-74.64338901142037
2021-08-04,26000,26000,25480,26000,20475.517371928912,24657.046043920476,25124.529894912623,62.08324577908789,47.59751753956341,NaN,NaN,NaN,NaN,NaN,NaN,-61.20888434918925
2021-08-05,25510,25900,25480,25800,20528.497298576385,24701.8677676883,25188.86038111142,59.03018346486469,48.82088006044063,NaN,NaN,NaN,NaN,NaN,NaN,-55.202618616672225
2021-08-06,25800,26040,25700,25800,20580.95006177463,24744.931776798563,25247.064154338903,59.03018346486469,50.80502254723111,NaN,NaN,NaN,NaN,NaN,NaN,-51.215460870015704
2021-08-09,25800,26110,25540,26110,20635.96548404553,24798.46386398293,25329.24852059234,62.35782846472724,52.78085733541706,NaN,NaN,NaN,NaN,62.35782846472724,NaN,-43.01046203565238
2021-08-10,26280,26280,25860,26070,20690.035479229155,24848.32802617968,25399.796280535928,61.66188692312397,54.03074611315119,NaN,NaN,NaN,NaN,NaN,NaN,-38.169881772975714
2021-08-11,26070,26250,25900,25900,20741.875922221898,24889.570064368712,25447.434730008696,58.66523561927036,54.82714972091206,NaN,NaN,NaN,NaN,NaN,NaN,-38.387098654890906
2021-08-12,25810,25960,25680,25900,20793.20053991123,24929.194767726804,25490.53618429358,58.66523561927035,55.88600404890153,NaN,NaN,NaN,NaN,NaN,NaN,-39.31275525404544
2021-08-13,25780,25790,25530,25760,20842.62143006137,24961.77536507085,25516.19940483705,56.063013756362636,56.85294150869437,NaN,NaN,NaN,NaN,NaN,NaN,-43.394282547692455
2021-08-16,25900,26200,25820,26200,20895.928679513494,25010.3331938916,25581.323271043046,61.79830479808513,57.97136960334897,NaN,NaN,NaN,NaN,NaN,NaN,-39.01852708049773
2021-08-17,26200,26200,25890,26030,20947.013966284503,25050.32012746448,25624.054388086566,58.61474504423669,58.97421006562899,NaN,NaN,NaN,NaN,NaN,NaN,-39.57963972388825
2021-08-18,26000,26050,25820,25890,20996.19790691849,25083.248749916856,25649.382541602132,56.053771566838265,59.419927353856245,NaN,NaN,NaN,NaN,NaN,NaN,-43.372978264218546
2021-08-19,25900,26000,25830,26000,21045.98698247154,25119.19977933188,25682.77468049717,57.62053352566051,59.435546401096296,NaN,NaN,NaN,NaN,NaN,NaN,-44.94477827065566
2021-08-20,26000,26000,24910,25210,21087.41994782008,25122.76057229926,25637.74852044982,45.16634475539022,58.49241132577646,NaN,NaN,NaN,NaN,NaN,NaN,-61.63268904117831
2021-08-23,25000,25160,24440,25000,21126.35109261789,25117.946432209093,25577.010566121266,42.53452214451531,57.096073923306996,NaN,NaN,NaN,NaN,NaN,NaN,-78.96993111743814
2021-08-24,24700,25100,24600,25100,21165.889887716217,25117.242650553835,25531.58098839543,44.201871812951936,55.81883292572585,NaN,NaN,NaN,NaN,NaN,NaN,-90.86819865209782
2021-08-25,25000,25000,24650,24880,21202.84620724143,25107.939017198783,25469.525656167294,41.358756331507685,54.55658813048607,NaN,NaN,NaN,NaN,NaN,NaN,-104.47138706085207
2021-08-26,24880,24900,24500,24880,21239.43480219425,25099.000232210597,25413.38035557993,41.358756331507685,53.294343335246275,NaN,NaN,NaN,NaN,NaN,NaN,-115.159908535662
2021-08-27,24500,24880,24420,24880,21275.65933152565,25090.41198781018,25362.58222647708,41.358756331507685,51.794409611444884,NaN,NaN,NaN,NaN,NaN,NaN,-123.51688268783982
2021-08-30,25100,25410,24900,24950,21312.21993519206,25084.905635347037,25323.28868109831,42.82034372695491,50.448585097432805,NaN,NaN,NaN,NaN,NaN,NaN,-128.69904937186493
2021-08-31,25360,25360,24840,25020,21349.113269170248,25082.36031631382,25294.404044803232,44.31501070826051,49.423569032360675,NaN,NaN,NaN,NaN,NaN,NaN,-131.3915964491889
