date,price,returns,first_trading_day,units_purchased,total_units,total_cash,total_value,profit,profit_pct,label_txt
2023-06-07,23098.42,0.0072913695826037905,FALSE,0,12898.559066744298,198000000,297936334.7184678,99936334.71846777,0.5047289632245846,NA
2023-06-08,23071.58,-0.0011619842396145552,FALSE,0,12898.559066744298,198000000,297590137.3931164,99590137.39311641,0.5029804918844263,NA
2023-06-09,22766.48,-0.013224061811111465,FALSE,0,12898.559066744298,198000000,293654787.02185273,95654787.02185273,0.48310498495885223,NA
2023-06-12,22933.93,0.007355111549963045,FALSE,0,12898.559066744298,198000000,295814650.73757905,97814650.73757905,0.49401338756353064,NA
2023-06-13,23093.48,0.00695694109121292,FALSE,0,12898.559066744298,198000000,297872615.8366781,99872615.83667809,0.5044071506902934,NA
2023-06-14,23035.58,-0.002507201166736195,FALSE,0,12898.559066744298,198000000,297125789.2667136,99125789.26671362,0.5006352993268364,NA
2023-06-15,22866.16,-0.0073547095406324425,FALSE,0,12898.559066744298,198000000,294940515.3896258,96940515.38962579,0.4895985625738677,NA
2023-06-16,22939.51,0.0032077970240740328,FALSE,0,12898.559066744298,198000000,295886624.69717145,97886624.69717145,0.49437689240995675,NA
2023-06-19,22991.71,0.0022755499136641877,FALSE,0,12898.559066744298,198000000,296559929.4804555,98559929.48045552,0.4977774216184623,NA
2023-06-20,23054.46,0.0027292445842437285,FALSE,0,12898.559066744298,198000000,297369314.0618937,99369314.0618937,0.5018652225348166,NA
2023-06-21,23286.48,0.010063996293992572,FALSE,0,12898.559066744298,198000000,300362037.73655975,102362037.73655975,0.5169799885684836,NA
2023-06-22,23468.58,0.0078199882506933,FALSE,0,12898.559066744298,198000000,302710865.34261394,104710865.34261394,0.528842754255626,NA
2023-06-23,23517.23,0.002072984390192989,FALSE,0,12898.559066744298,198000000,303338380.241211,105338380.241211,0.5320120214202575,NA
2023-06-26,23451.26,-0.002805177310423068,FALSE,0,12898.559066744298,198000000,302487462.29957783,104487462.29957783,0.5277144560584739,NA
2023-06-27,23571.73,0.0051370374129151575,FALSE,0,12898.559066744298,198000000,304041351.71034855,106041351.71034855,0.5355623823754978,NA
2023-06-28,23704.41,0.005628776504736921,FALSE,0,12898.559066744298,198000000,305752732.5273242,107752732.5273242,0.5442057198349708,NA
2023-06-29,23675.84,-0.001205260961989807,FALSE,0,12898.559066744298,198000000,305384220.6947873,107384220.69478732,0.5423445489635723,NA
2023-06-30,23334.07,-0.01443539067674049,FALSE,0,12898.559066744298,198000000,300975880.1625461,102975880.1625461,0.520080202841142,NA
2023-07-03,23375.28,0.001766087099250191,TRUE,128.34070864605687,13026.899775390355,201000000,304507429.78168666,103507429.78168666,0.5149623372223218,NA
2023-07-04,23524.27,0.006373827393725495,FALSE,0,13026.899775390355,201000000,306448307.5792221,105448307.57922208,0.5246184456677716,NA
2023-07-05,23762.24,0.01011593558482371,FALSE,0,13026.899775390355,201000000,309548318.91877174,108548318.91877174,0.5400413876555807,NA
2023-07-06,23788.06,0.0010865978964946787,FALSE,0,13026.899775390355,201000000,309884673.4709723,108884673.4709723,0.5417147933879218,NA
2023-07-07,23766.91,-8.891015072267638e-4,FALSE,0,13026.899775390355,201000000,309609154.5407228,108609154.54072279,0.5403440524414069,NA
2023-07-10,24041.85,0.011568184505263757,FALSE,0,13026.899775390355,201000000,313190770.3649686,112190770.3649686,0.5581630366416348,NA
2023-07-11,24217.35,0.007299771024276369,FALSE,0,13026.899775390355,201000000,315476991.2755496,114476991.27554959,0.56953727002761,NA
2023-07-12,24353.57,0.005624892897034606,FALSE,0,13026.899775390355,201000000,317251515.5629533,116251515.5629533,0.5783657490694194,NA
2023-07-13,24378.45,0.0010216161326654927,FALSE,0,13026.899775390355,201000000,317575624.829365,116575624.82936502,0.5799782329819154,NA
2023-07-14,24552.97,0.007158781628856747,FALSE,0,13026.899775390355,201000000,319849079.37816614,118849079.37816614,0.5912889521301798,NA
2023-07-17,24714.23,0.00656784087627682,FALSE,0,13026.899775390355,201000000,321949797.2359456,120949797.23594558,0.6017402847559481,NA
2023-07-18,24738.98,0.0010014473443031857,FALSE,0,13026.899775390355,201000000,322272213.0053865,121272213.00538647,0.6033443433103804,NA
2023-07-19,24689.66,-0.0019936149348113164,FALSE,0,13026.899775390355,201000000,321629726.3084642,120629726.30846423,0.6001478920819117,NA
2023-07-20,24779.55,0.003640795377498174,FALSE,0,13026.899775390355,201000000,322800714.32927406,121800714.32927406,0.6059737031307166,NA
2023-07-21,24912.11,0.005349572530574553,FALSE,0,13026.899775390355,201000000,324527560.16349983,123527560.16349983,0.61456497593781,NA
2023-07-24,25251.21,0.013611853833336518,FALSE,0,13026.899775390355,201000000,328944981.87733465,127944981.87733465,0.6365421983946997,NA
2023-07-25,25453.41,0.008007537064560477,FALSE,0,13026.899775390355,201000000,331579021.0119186,130579021.0119186,0.6496468707060628,NA
2023-07-26,25358.49,-0.0037291663474559034,FALSE,0,13026.899775390355,201000000,330342507.6852386,129342507.6852386,0.6434950631106398,NA
2023-07-27,25412.85,0.0021436607621352355,FALSE,0,13026.899775390355,201000000,331050649.95702875,130050649.95702875,0.6470181589901927,NA
2023-07-28,25435.87,9.058409426727643e-4,FALSE,0,13026.899775390355,201000000,331350529.18985826,130350529.18985826,0.6485100954719316,NA
2023-07-31,25548.94,0.004445297133536252,FALSE,0,13026.899775390355,201000000,332823480.7474616,131823480.74746162,0.6558382126739384,NA
2023-08-01,25567.36,7.209692456908723e-4,TRUE,117.337104808631,13144.236880198985,204000000,336063436.2413243,132063436.2413243,0.6473697854966878,NA
2023-08-02,25350.23,-0.00849246852236607,FALSE,0,13144.236880198985,204000000,333209428.08752674,129209428.08752674,0.6333795494486605,NA
2023-08-03,25325.78,-9.644882906387764e-4,FALSE,0,13144.236880198985,204000000,332888051.49580586,128888051.49580586,0.6318041739990483,NA
2023-08-04,25282.22,-0.001719986511767746,FALSE,0,13144.236880198985,204000000,332315488.5373044,128315488.5373044,0.6289974928299236,NA
2023-08-07,25397.84,0.0045731743494044075,FALSE,0,13144.236880198985,204000000,333835225.205393,129835225.20539302,0.6364471823793776,NA
2023-08-08,25747.7,0.01377518718127213,FALSE,0,13144.236880198985,204000000,338433867.9202994,134433867.9202994,0.6589895486289188,NA
2023-08-09,25697.05,-0.001967165999293252,FALSE,0,13144.236880198985,204000000,337768112.3223173,133768112.3223173,0.6557260407956731,NA
2023-08-10,25670.49,-0.0010335816757175431,FALSE,0,13144.236880198985,204000000,337419001.39077926,133419001.39077926,0.6540147126998983,NA
2023-08-11,25358.03,-0.012171953086988263,FALSE,0,13144.236880198985,204000000,333311953.1351923,129311953.13519228,0.6338821232117269,NA
2023-08-14,25398.04,0.0015778039540139677,FALSE,0,13144.236880198985,204000000,333837854.05276906,129837854.05276906,0.6364600688861228,NA
2023-08-15,25559.58,0.006360333317059208,FALSE,0,13144.236880198985,204000000,335961174.0783964,131961174.07839638,0.646868500384296,NA
2023-08-16,25623.81,0.0025129520907620773,FALSE,0,13144.236880198985,204000000,336805428.4132116,132805428.41321158,0.651007002025547,NA
2023-08-17,25694.75,0.0027685188112149817,FALSE,0,13144.236880198985,204000000,337737880.5774929,133737880.5774929,0.6555778459681023,NA
2023-08-18,25590.23,-0.004067757032078512,FALSE,0,13144.236880198985,204000000,336364044.93877447,132364044.93877447,0.6488433575430121,NA
2023-08-21,24678.4,-0.03563195797771257,FALSE,0,13144.236880198985,204000000,324378735.42430264,120378735.42430264,0.5900918403152091,NA
