"Date","Price","Open","High","Low","Vol.","Change %"
"03/21/2017","20,255","20,161","20,302","20,161","1.14M","0.35%"
"03/20/2017","20,185","20,326","20,326","20,103","730.72K","0.06%"
"03/17/2017","20,173","20,091","20,255","19,856","1.89M","0.41%"
"03/16/2017","20,091","20,737","20,761","20,032","2.79M","-1.72%"
"03/15/2017","20,443","20,443","20,549","20,279","2.86M","1.16%"
"03/14/2017","20,208","19,973","20,208","19,973","1.94M","1.29%"
"03/13/2017","19,950","20,032","20,185","19,915","1.79M","0.47%"
"03/10/2017","19,856","19,856","19,950","19,809","435.84K","0.00%"
"03/09/2017","19,856","19,950","19,973","19,821","329.36K","-0.47%"
"03/08/2017","19,950","19,844","20,255","19,738","2.22M","1.13%"
"03/07/2017","19,727","19,539","19,774","19,386","932.08K","0.96%"
"03/06/2017","19,539","19,621","19,680","19,503","764.64K","0.00%"
"03/03/2017","19,539","19,621","19,644","19,503","854.96K","-0.42%"
"03/02/2017","19,621","19,515","19,856","19,503","802.32K","0.30%"
"03/01/2017","19,562","19,621","19,621","19,492","835.92K","-0.36%"
"02/28/2017","19,633","19,738","19,856","19,633","927.04K","-0.89%"
"02/27/2017","19,809","19,903","20,326","19,738","2.70M","1.57%"
"02/24/2017","19,503","19,163","19,503","19,033","1.52M","0.42%"
"02/23/2017","19,421","19,515","19,621","19,210","1.94M","-0.48%"
"02/22/2017","19,515","19,856","19,915","19,445","1.63M","-1.42%"
"02/21/2017","19,797","19,738","19,973","19,738","912.64K","0.30%"
"02/20/2017","19,738","20,208","20,208","19,738","1.71M","-2.33%"
"02/17/2017","20,208","20,326","20,620","20,056","3.50M","-0.58%"
"02/16/2017","20,326","20,291","20,913","20,291","1.79M","0.00%"
"02/15/2017","20,326","20,208","20,420","20,091","898.16K","0.58%"
"02/14/2017","20,208","20,420","20,432","20,208","908.96K","-0.69%"
"02/13/2017","20,349","19,856","20,432","19,856","3.19M","2.91%"
"02/10/2017","19,774","19,621","19,915","19,621","1.05M","0.78%"
"02/09/2017","19,621","19,832","19,844","19,421","2.00M","-1.06%"
"02/08/2017","19,832","19,973","20,020","19,621","1.63M","-0.94%"
"02/07/2017","20,020","19,973","20,079","19,915","1.60M","-0.06%"
"02/06/2017","20,032","19,738","20,079","19,574","2.00M","1.49%"
"02/03/2017","19,738","19,856","20,079","19,633","983.76K","-0.59%"
"02/02/2017","19,856","18,916","19,856","18,810","3.38M","5.63%"
"01/25/2017","18,798","18,681","18,798","18,622","657.28K","0.63%"
"01/24/2017","18,681","18,599","18,681","18,563","966.96K","0.44%"
"01/23/2017","18,599","18,787","18,787","18,505","500.80K","-0.75%"
"01/20/2017","18,740","18,458","18,798","18,458","598.88K","1.27%"
"01/19/2017","18,505","18,681","18,681","18,505","302.08K","-0.31%"
"01/18/2017","18,563","18,575","18,634","18,563","656.88K","0.00%"
"01/17/2017","18,563","18,563","18,622","18,505","854.56K","-0.32%"
"01/16/2017","18,622","18,681","18,798","18,622","668.72K","-0.63%"
"01/13/2017","18,740","18,798","18,834","18,693","675.12K","-0.31%"
"01/12/2017","18,798","18,798","19,080","18,798","1.65M","0.00%"
"01/11/2017","18,798","18,505","18,798","18,505","2.79M","1.78%"
"01/10/2017","18,469","18,352","18,610","18,223","1.44M","0.32%"
"01/09/2017","18,411","18,563","18,563","18,387","1.01M","-0.70%"
