date,BITCOIN
2017-04-09,27464799.6
2017-04-10,27448850
2017-04-11,27729493.45
2017-04-12,27528269.325000003
2017-04-13,26695494
2017-04-14,26746600.25
2017-04-15,26863044.374999996
2017-04-16,26843447.125
2017-04-17,27040704.75
2017-04-18,27302067.1
2017-04-19,27609921.19
2017-04-20,28097689.500000004
2017-04-21,28402897.775
2017-04-22,28334957.5
2017-04-23,28448115.55
2017-04-24,28565628.8
2017-04-25,29165607.400000002
2017-04-26,29528473.26
2017-04-27,30671378.32
2017-04-28,30779688.29
2017-04-29,31054657.205000002
2017-04-30,31489512.925
2017-05-01,32680375
2017-05-02,33487772.5
2017-05-03,34864252.5
2017-05-04,35567122.5
2017-05-05,35264927.25
2017-05-06,36039878.175000004
2017-05-07,36589550.025
2017-05-08,38936490
2017-05-09,39109674.975
2017-05-10,40818072.6
2017-05-11,41766040.285000004
2017-05-12,38475086.51
2017-05-13,40678836.43
2017-05-14,40843573.09
2017-05-15,39642078.61
2017-05-16,40259922
2017-05-17,41114990.25
2017-05-18,43110932
2017-05-19,44761609.5
2017-05-20,46634311.5
2017-05-21,46591050
2017-05-22,48225224.125
2017-05-23,51591425
2017-05-24,55137182.62499999
2017-05-25,53399625
2017-05-26,51647107.49999999
2017-05-27,47722272.74999999
2017-05-28,50739925.50000001
2017-05-29,51837654.68
2017-05-30,49803655.5
2017-05-31,52319232.35
2017-06-01,54957972.9
2017-06-02,56310257.849999994
2017-06-03,57878955.75000001
2017-06-04,57272692.400000006
2017-06-05,61285070
2017-06-06,65250065.25
2017-06-07,61031169
2017-06-08,63525873.7
2017-06-09,63783410.625
2017-06-10,66500465.625
2017-06-11,68039358.75
2017-06-12,60264699.175000004
2017-06-13,61474209.425000004
2017-06-14,55223328.050000004
2017-06-15,54682446.2
2017-06-16,56280956.699999996
2017-06-17,59786788.6
2017-06-18,57071022.5
2017-06-19,58990400.7
2017-06-20,61927443
2017-06-21,60004045
2017-06-22,60862572.9
2017-06-23,61147521.00000001
2017-06-24,58513239
2017-06-25,56939987.25
2017-06-26,54719754.75
2017-06-27,58533918.75
2017-06-28,58057948.8
2017-06-29,57513225
2017-06-30,55794192.75
2017-07-01,55076991.75
2017-07-02,57191098.5
2017-07-03,57802962.555
2017-07-04,59160373
2017-07-05,59509670.4
2017-07-06,59221037.400000006
2017-07-07,56838633.75
2017-07-08,58201224.75
2017-07-09,57016797.74999999
2017-07-10,52973111.25000001
2017-07-11,52494977.25000001
2017-07-12,54169178.050000004
2017-07-13,53176500
2017-07-14,50386778.99999999
2017-07-15,44638944.75
2017-07-16,43445200.5
2017-07-17,50805868.7
2017-07-18,52464249.5
2017-07-19,51358137.65
2017-07-20,65328567.8
2017-07-21,60390551.24999999
2017-07-22,64204260.75
2017-07-23,62591013.00000001
2017-07-24,62786169.800000004
2017-07-25,58286130
2017-07-26,57409437.724999994
2017-07-27,60561897.74999999
2017-07-28,63323191.995000005
2017-07-29,61371722.985
2017-07-30,61912206.714999996
2017-07-31,64926883.32
2017-08-01,62098107.75
2017-08-02,61355227.5
2017-08-03,63355932.15
2017-08-04,64961624.900000006
2017-08-05,73740745.14999999
2017-08-06,73257171.69999999
2017-08-07,77258759.05
2017-08-08,77808946.05
2017-08-09,75980172.60000001
2017-08-10,78321620.3
2017-08-11,83095149.125
2017-08-12,88046335
2017-08-13,92284331.925
2017-08-14,98196436.50000001
2017-08-15,94544809.075
2017-08-16,99319402.275
2017-08-17,97278207.28500001
2017-08-18,93225943.02000001
2017-08-19,94491693.185
2017-08-20,92072926.21499999
2017-08-21,90955455
2017-08-22,93005022
2017-08-23,94202245.14999999
2017-08-24,98049094.155
2017-08-25,99113700
2017-08-26,98757254.39999999
2017-08-27,98661550.57499999
2017-08-28,99692747.64999999
2017-08-29,104569762.5
2017-08-30,104159860.35
2017-08-31,107817896.35
2017-09-01,112467812.69999999
2017-09-02,105694272.69999999
2017-09-03,105150116.5
2017-09-04,102245222.5
2017-09-05,100744303.53500001
2017-09-06,104902690.5
2017-09-07,105084490.5
2017-09-08,98858100
2017-09-09,98502665.36
2017-09-10,96616407.36
2017-09-11,95667558.4
2017-09-12,94638717.00000001
2017-09-13,87612147
2017-09-14,73865340
2017-09-15,84991954.5
2017-09-16,84684939.75
2017-09-17,84536318.25
2017-09-18,93172500
2017-09-19,88857249.75
2017-09-20,88002243.65
2017-09-21,82207005.75
2017-09-22,82242002.25
2017-09-23,86067074.25
2017-09-24,83378252.25
2017-09-25,89116198.30000001
2017-09-26,88308095.7
2017-09-27,95466000
2017-09-28,95204569.5
2017-09-29,94488382.69999999
2017-09-30,98625470
2017-10-01,99894031.30000001
2017-10-02,99835316.525
2017-10-03,97899072.75
2017-10-04,95782239
2017-10-05,98172909
2017-10-06,99148947.75
2017-10-07,100558125
2017-10-08,104614310.25
2017-10-09,108390408.525
2017-10-10,107967500
2017-10-11,109391757.81
2017-10-12,123596800
2017-10-13,127795456
2017-10-14,132210633.60000001
2017-10-15,129360864
2017-10-16,130736940.74999999
2017-10-17,127087289
2017-10-18,126648489.58
2017-10-19,129609367.22500001
2017-10-20,136063368.35
2017-10-21,136875781.91
2017-10-22,136425728.425
2017-10-23,134204763.765
2017-10-24,125535006.885
2017-10-25,130440818.25
2017-10-26,133886837.25
2017-10-27,131263800
2017-10-28,130628147.10000001
2017-10-29,139439627.1
2017-10-30,139079673.6
2017-10-31,146366177.1
2017-11-01,154081342.815
2017-11-02,159895545.75
2017-11-03,162848852.125
2017-11-04,168357541.875
2017-11-05,167890800
2017-11-06,158318098.4
2017-11-07,161870710.505
2017-11-08,169597371.6
2017-11-09,162530650
2017-11-10,149400771.87
2017-11-11,144155770.45
2017-11-12,133699610.72500001
2017-11-13,148413268.025
2017-11-14,150032575
2017-11-15,165654034
2017-11-16,178020854.82999998
2017-11-17,175220350.875
2017-11-18,176635339.625
2017-11-19,182422711.75
2017-11-20,187493987.1
2017-11-21,184155390
2017-11-22,187460625
2017-11-23,182528188.9
2017-11-24,186686102.25
2017-11-25,199877737.5
2017-11-26,213640224.75
2017-11-27,221945091.2
2017-11-28,225991535
2017-11-29,225745465.6
2017-11-30,224971402.5
2017-12-01,246881241
2017-12-02,248253076
2017-12-03,256424125
2017-12-04,264487183.70999998
2017-12-05,266182320.25
2017-12-06,320054350
2017-12-07,394987992.135
2017-12-08,371703434.815
2017-12-09,347697300.78999996
2017-12-10,347243772.105
2017-12-11,383475609.59999996
2017-12-12,402713080.62
2017-12-13,379079456.735
2017-12-14,380471252.7
2017-12-15,402889542.37499994
2017-12-16,446300852.12499994
2017-12-17,440145310.37500006
2017-12-18,432461592.645
2017-12-19,405179993.855
2017-12-20,374685614.125
2017-12-21,357961142
2017-12-22,322771781.695
2017-12-23,342426227.515
2017-12-24,323030034.19
2017-12-25,321859837.78
2017-12-26,358492453.2
2017-12-27,348994070.34
2017-12-28,328166952.105
2017-12-29,330772285.5
2017-12-30,291596172.9
2017-12-31,314831682.29999995
2018-01-01,306131027.1
2018-01-02,335688092.1
2018-01-03,342856112.19
2018-01-04,343945751.898
2018-01-05,385153347.09499997
2018-01-06,388309513.40500003
2018-01-07,367308449.09
2018-01-08,340545319.75
2018-01-09,328856042.405
2018-01-10,337867400.93
2018-01-11,302192772.45
2018-01-12,313845290
2018-01-13,322201250.52500004
2018-01-14,310126155.185
2018-01-15,308622105
2018-01-16,262760712.10500002
2018-01-17,254380227.125
2018-01-18,256788155.655
2018-01-19,261170810.375
2018-01-20,289875095
2018-01-21,261606436.125
2018-01-22,244522523.70000002
2018-01-23,245839799.87
2018-01-24,257918379.29500002
2018-01-25,252528693
2018-01-26,251788815.345
2018-01-27,257060149.5
2018-01-28,261988328
2018-01-29,252614680.11
2018-01-30,226986450
2018-01-31,229370772.9
2018-02-01,204708656.185
2018-02-02,199560185.44
2018-02-03,209835780
2018-02-04,185489152.145
2018-02-05,156799601.92499998
2018-02-06,174604926.6
2018-02-07,171996040.125
2018-02-08,186542651.9
2018-02-09,196853604.525
2018-02-10,194049391.725
2018-02-11,183277055.475
2018-02-12,201440681.26000002
