date,BITCOIN,E1VFVN30,TCBF
2017-07-02,57191098.5,12560,11283
2017-07-03,57802962.555,12630,11283
2017-07-04,59160373,12570,11277
2017-07-05,59509670.4,13400,11277
2017-07-06,59221037.400000006,12650,11307
2017-07-07,56838633.75,12600,11307
2017-07-08,58201224.75,12600,11307
2017-07-09,57016797.74999999,12600,11307
2017-07-10,52973111.25000001,12300,11307
2017-07-11,52494977.25000001,12380,11322
2017-07-12,54169178.050000004,12440,11322
2017-07-13,53176500,12440,11333
2017-07-14,50386778.99999999,12470,11333
2017-07-15,44638944.75,12470,11333
2017-07-16,43445200.5,12470,11333
2017-07-17,50805868.7,12270,11333
2017-07-18,52464249.5,12020,11355
2017-07-19,51358137.65,12140,11355
2017-07-20,65328567.8,12110,11343
2017-07-21,60390551.24999999,12040,11343
2017-07-22,64204260.75,12040,11343
2017-07-23,62591013.00000001,12040,11343
2017-07-24,62786169.800000004,12030,11343
2017-07-25,58286130,12000,11363
2017-07-26,57409437.724999994,12140,11363
2017-07-27,60561897.74999999,12140,11362
2017-07-28,63323191.995000005,12270,11362
2017-07-29,61371722.985,12270,11362
2017-07-30,61912206.714999996,12270,11362
2017-07-31,64926883.32,12350,11362
2017-08-01,62098107.75,12440,11387
2017-08-02,61355227.5,12430,11387
2017-08-03,63355932.15,12360,11374
2017-08-04,64961624.900000006,12380,11374
2017-08-05,73740745.14999999,12380,11374
2017-08-06,73257171.69999999,12380,11374
2017-08-07,77258759.05,12490,11374
2017-08-08,77808946.05,12430,11399
2017-08-09,75980172.60000001,12300,11399
2017-08-10,78321620.3,12200,11390
2017-08-11,83095149.125,12190,11390
2017-08-12,88046335,12190,11390
2017-08-13,92284331.925,12190,11390
2017-08-14,98196436.50000001,12250,11390
2017-08-15,94544809.075,12220,11438
2017-08-16,99319402.275,12270,11438
2017-08-17,97278207.28500001,12220,11459
2017-08-18,93225943.02000001,12220,11459
2017-08-19,94491693.185,12220,11459
2017-08-20,92072926.21499999,12220,11459
2017-08-21,90955455,12180,11459
2017-08-22,93005022,12170,11429
2017-08-23,94202245.14999999,12120,11429
2017-08-24,98049094.155,12290,11420
2017-08-25,99113700,12260,11420
2017-08-26,98757254.39999999,12260,11420
2017-08-27,98661550.57499999,12260,11420
2017-08-28,99692747.64999999,12390,11420
2017-08-29,104569762.5,12390,11439
